,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
98,99,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,21,2303.0,2218.0,2225.0,487.0,1087344.2,2258.0,-33.0
99,100,Manjushree Finance Ltd.,1992,1360.0,1263.0,1300.0,244595.0,313862063.1,1298.0,-10.0
100,101,Mega Bank Nepal Ltd.,872,385.0,380.0,381.0,132433.0,50570629.7,385.0,-4.0
101,102,Mero Microfinance Bittiya Sanstha Ltd.,231,1660.0,1638.0,1642.0,25994.0,42757256.3,1670.0,-28.0
102,103,Mirmire Microfinance Development Bank Ltd.,137,1850.0,1803.2,1845.0,8139.0,14858301.9,1878.5,-33.5
103,104,Miteri Development Bank Limited,331,690.0,668.1,675.0,57887.0,39067990.6,683.0,-8.0
104,105,Mithila LaghuBitta Bittiya Sanstha Limited,75,2270.0,2217.0,2238.0,2813.0,6282849.8,2270.0,-32.0
105,106,Mountain Energy Nepal Limited,871,1030.0,956.2,1025.0,43092.0,43358079.0,970.0,55.0
106,107,Mountain Hydro Nepal Limited,470,633.0,597.1,628.0,91036.0,56433709.3,596.1,31.9
107,108,Muktinath Bikas Bank Ltd.,512,710.0,692.0,694.0,61794.0,43044958.1,701.6,-7.6
108,109,Muktinath Bikas Bank Ltd. Promoter Share,2,220.0,220.0,220.0,140000.0,30800000.0,220.0,0.0
109,110,Multipurpose Finance Company Limited,232,575.0,547.0,574.0,34417.0,19390813.0,550.0,24.0
110,111,NABIL BALANCED FUND-2,68,15.9,15.62,15.75,157426.0,2482471.64,15.9,-0.15
111,112,Nabil Bank Limited,695,1499.0,1490.0,1494.0,51624.0,77117556.5,1494.0,0.0
112,113,Nabil Equity Fund,56,16.4,16.2,16.21,166473.0,2708513.37,16.4,-0.19
113,114,Narayani Development Bank Limited,146,875.0,840.0,840.0,16913.0,14363639.0,860.0,-20.0
114,115,National Hydro Power Company Limited,3892,425.5,385.0,419.0,1041316.0,420859979.5,387.0,32.0
115,116,National Life Insurance Co. Ltd.,212,1267.0,1235.0,1253.0,34088.0,42361266.2,1243.0,10.0
116,117,National Microfinance Bittiya Sanstha Ltd.,72,3750.0,3610.0,3650.0,2512.0,9156121.5,3677.0,-27.0
117,118,Neco Insurance Co. Ltd.,537,1475.0,1405.0,1441.0,48327.0,70118077.3,1412.0,29.0
118,119,Nepal Bangladesh Bank Limited,858,499.0,487.0,487.1,227698.0,111590641.8,495.0,-8.0
119,120,Nepal Bank Limited,699,489.9,482.1,485.0,226187.0,109426220.8,486.5,-1.5
120,121,Nepal Credit And Commercial Bank Limited,588,379.0,374.0,376.0,148618.0,55839565.8,379.0,-3.0
121,122,Nepal Doorsanchar Comapany Limited,292,1285.0,1265.0,1270.0,23784.0,30266250.1,1275.0,-5.0
122,123,Nepal Finance Ltd.,608,800.0,755.0,765.0,130541.0,100173577.6,785.0,-20.0
123,124,Nepal Hydro Developers Ltd.,526,682.0,607.6,682.0,108891.0,71899938.3,620.0,62.0
124,125,Nepal Infrastructure Bank Limited,3550,482.0,477.0,478.0,311376.0,148888217.2,482.0,-4.0
125,126,Nepal Insurance Co. Ltd.,451,1033.0,1011.0,1017.0,41668.0,42480033.0,1017.0,0.0
126,127,Nepal Life Insurance Co. Ltd.,1179,1987.0,1967.0,1968.0,54515.0,107499189.9,1981.0,-13.0
127,128,Nepal Life Insurance Co. Ltd. Promoter,1,930.0,930.0,930.0,4764.0,4430520.0,930.0,0.0
128,129,Nepal Reinsurance Company Limited,1595,1688.0,1625.0,1646.0,131888.0,218435851.2,1619.0,27.0
129,130,Nepal SBI Bank Limited,183,425.0,420.0,420.9,33403.0,14054407.2,425.0,-4.1
130,131,Nerude Laghubita Bikas Bank Limited,152,1640.1,1600.0,1600.0,21389.0,34712035.1,1649.9,-49.9
131,132,Ngadi Group Power Ltd.,348,1172.1,1086.9,1172.1,109820.0,128685974.4,1065.6,106.5
132,133,NIBL Pragati Fund,229,19.07,18.68,18.98,757360.0,14349782.92,18.7,0.28
133,134,NIBL Samriddhi Fund -2,76,10.78,10.29,10.6,160850.0,1706315.0,10.79,-0.19
134,135,NIBL Samriddhi Fund 1,84,16.58,16.0,16.36,252213.0,4141226.49,16.31,0.05
135,136,NIC Asia Balanced Fund,75,15.7,15.57,15.69,317115.0,4956558.85,15.8,-0.11
136,137,NIC Asia Bank Ltd.,755,1035.0,1017.0,1018.0,102873.0,105236548.7,1028.0,-10.0
137,138,NIC Asia Growth Fund,46,16.8,16.7,16.7,111020.0,1858519.2,16.8,-0.1
138,139,NIC ASIA Laghubitta Bittiya Sanstha Limited,677,1625.0,1592.0,1610.0,20822.0,33502654.4,1615.0,-5.0
139,140,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,583,1730.0,1696.0,1717.0,65140.0,111337882.9,1726.2,-9.2
140,141,NLG Insurance Company Ltd.,316,1138.0,1110.0,1120.0,37005.0,41477943.3,1120.0,1.0
141,142,NMB Microfinance Bittiya Sanstha Ltd.,95,1529.0,1500.0,1505.0,6379.0,9595049.4,1529.0,-24.0
142,143,NMB 50,110,17.19,16.73,16.8,368845.0,6202584.2,16.9,-0.1
143,144,NMB Bank Limited,775,484.0,477.0,477.5,124556.0,59629257.0,481.0,-3.5
144,145,NMB Hybrid Fund L-1,41,15.25,15.0,15.03,213823.0,3223719.49,15.15,-0.12
145,146,NRN Infrastructure and Development Limited,1191,810.0,760.0,800.0,124769.0,98623456.0,766.0,34.0
146,147,Oriental Hotels Limited,226,660.0,635.0,646.9,43431.0,27912840.7,647.0,-0.1
147,148,Panchakanya Mai Hydropower Ltd,577,441.0,404.0,438.0,80615.0,34248883.4,412.0,26.0
148,149,Panchthar Power Compant Limited,611,587.0,525.0,565.0,81646.0,45922313.4,534.0,31.0
149,150,Pokhara Finance Ltd.,792,767.0,740.0,762.5,140049.0,105594019.8,750.0,12.5
150,151,Prabhu Bank Limited,753,496.0,485.0,485.5,153599.0,74734493.2,491.0,-5.5
151,152,Prabhu Insurance Ltd.,240,1037.0,1016.0,1018.0,25413.0,26054704.1,1016.0,2.0
152,153,Prabhu Life Insurance Limited,664,775.0,762.0,771.0,13295.0,10242113.5,774.0,-3.0
153,154,Prabhu Select Fund,73,10.45,10.2,10.35,66700.0,690241.5,10.3,0.05
154,155,Premier Insurance Co. Ltd.,167,1246.0,1212.0,1228.0,13084.0,16106960.0,1228.0,0.0
155,156,Prime Commercial Bank Ltd.,585,515.0,507.1,508.9,90765.0,46221700.5,510.1,-1.2
156,157,Prime Life Insurance Company Limited,138,1018.0,998.0,1008.0,25844.0,25987364.5,1007.9,0.1
157,158,ProgressiveFinance Limited,820,510.0,461.0,494.0,144680.0,69510178.1,469.0,25.0
158,159,Prudential Insurance Co. Ltd.,210,845.0,834.0,840.0,27706.0,23262980.9,839.0,1.0
159,160,Radhi Bidyut Company Ltd,2094,1039.0,981.0,996.0,277825.0,279019671.2,980.0,16.0
160,161,Rairang Hydropower Development Company Ltd.,952,585.0,557.6,567.0,184545.0,105956148.3,562.0,5.0
161,162,Rastriya Beema Company Limited,35,21150.0,20802.0,20802.0,495.0,10354173.0,20903.0,-101.0
162,163,Rastriya Beema Company Limited Promoter Share,46,16320.0,16000.0,16320.0,1150.0,18460990.0,16100.0,220.0
163,164,RASUWAGADHI HYDROPOWER COMPANY LIMITED,1661,537.0,515.0,530.0,270724.0,142602118.3,522.0,8.0
164,165,Reliance Finance Ltd.,871,639.0,590.0,639.0,234221.0,144666533.2,604.0,35.0
165,166,Reliance Life Insurance Limited,669,708.0,686.0,707.0,24909.0,17428372.5,700.0,7.0
166,167,Ridi Hydropower Development Company Ltd.,752,779.2,749.0,770.0,269678.0,204603715.8,764.0,6.0
167,168,RMDC Laghubitta Bittiya Sanstha Ltd.,224,1550.0,1502.0,1510.0,33830.0,51155824.4,1525.0,-15.0
168,169,RSDC Laghubitta Bittiya Sanstha Ltd.,379,995.0,941.9,947.0,34737.0,33093596.7,967.0,-20.0
169,170,Ru Ru Jalbidhyut Pariyojana Limited,173,1125.0,1079.5,1110.0,5454.0,5989406.0,1100.0,10.0
170,171,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,76,2030.8,1968.2,1995.0,2868.0,5728797.1,1991.0,4.0
171,172,Sadhana Laghubitta Bittiya Sanstha Limited,108,1800.0,1751.0,1751.0,4911.0,8685300.9,1790.0,-39.0
172,173,Sagarmatha Insurance Co. Ltd.,117,1478.0,1430.0,1460.0,6627.0,9604347.7,1439.0,21.0
173,174,Salt Trading Corporation,89,11000.0,10521.1,10521.1,1254.0,13430426.5,10700.0,-178.9
174,175,Samata Gharelu Laghubitta Bittiya Sanstha Limited,32,1688.0,1653.1,1655.5,1253.0,2083474.9,1668.9,-13.4
175,176,Samriddhi Finance Company Limited,1122,612.0,575.0,604.0,209272.0,125699922.4,571.0,33.0
176,177,Samudayik Laghubitta Bittiya Sanstha Limited,49,1630.0,1610.0,1615.0,1137.0,1840288.2,1640.0,-25.0
177,178,Sana Kisan Bikas Bank Ltd,272,1939.0,1850.0,1860.1,32498.0,61019319.9,1901.0,-40.9
178,179,Sanima Bank Limited,494,549.0,535.1,540.0,92182.0,49641979.1,544.0,-4.0
179,180,Sanima Equity Fund,66,19.25,18.83,18.83,282490.0,5350007.5,18.92,-0.09
180,181,Sanima General Insurance Limited,387,758.1,737.0,750.0,17924.0,13419583.8,758.1,-8.1
181,182,Sanima Large Cap Fund,37,10.57,10.39,10.5,13800.0,144200.0,10.56,-0.06
182,183,Sanima Mai Hydropower Ltd.,1470,657.0,640.0,642.0,362773.0,234604737.5,636.0,6.0
183,184,SANJEN JALAVIDHYUT COMPANY LIMITED,1168,515.0,492.5,506.1,145762.0,73363569.0,500.0,6.1
184,185,Saptakoshi Development Bank Ltd,456,474.0,445.0,455.0,82307.0,37394429.7,461.0,-6.0
185,186,Sarathi Nepal Laghubitta Bittiya Sanstha Limited,55,1940.0,1730.0,1771.2,2955.0,5312985.5,1833.0,-61.8
186,187,Shangrila Development Bank Ltd.,615,482.0,465.3,467.0,120645.0,56706516.8,475.0,-8.0
187,188,Shikhar Insurance Co. Ltd.,402,2079.2,2020.0,2040.0,24640.0,50226479.5,2038.5,1.5
188,189,Shine Resunga Development Bank Ltd.,631,495.0,479.0,480.5,107158.0,51769922.3,488.0,-7.5
189,190,Shiva Shree Hydropower Ltd,1236,490.0,452.0,479.1,247591.0,117211469.8,464.0,15.1
190,191,SHIVAM CEMENTS LTD,298,1550.0,1520.0,1524.0,22457.0,34376140.5,1547.0,-23.0
191,192,Shree Investment Finance Co. Ltd.,1040,575.0,538.0,569.0,191524.0,105185851.0,530.0,39.0
192,193,Siddhartha Bank Limited,501,597.0,577.0,582.0,123388.0,71732238.9,589.8,-7.8
193,194,Siddhartha Equity Fund,72,15.99,15.65,15.7,172998.0,2720283.1,15.76,-0.06
194,195,Siddhartha Insurance Ltd.,86,1138.0,1116.0,1130.0,17831.0,20093751.5,1130.0,0.0
195,196,Siddhartha Investment Growth Scheme - 2,76,16.0,15.69,15.91,286943.0,4529151.57,15.92,-0.01
196,197,Sindhu Bikash Bank Ltd,376,514.0,500.0,502.0,75376.0,37923385.0,512.0,-10.0
197,198,Singati Hydro Energy Limited,942,565.0,535.0,556.1,59620.0,33250638.5,545.0,11.1
198,199,Soaltee Hotel Limited,265,289.3,279.8,284.1,64616.0,18355692.0,283.9,0.1
199,200,Standard Chartered Bank Limited,253,605.0,593.1,594.0,26946.0,16045402.2,596.0,-2.0
200,201,Summit Laghubitta Bittiya Sanstha Limited,55,1650.0,1617.0,1629.0,3586.0,5854270.5,1660.0,-31.0
201,202,Sunrise Bank Limited,454,384.0,380.0,381.2,118743.0,45259118.5,384.0,-2.8
202,203,Sunrise Bluechip Fund,49,10.55,10.1,10.45,18500.0,192756.0,10.3,0.15
203,204,Sunrise First Mutual Fund,33,18.34,17.84,17.9,84321.0,1508221.02,18.0,-0.1
204,205,Support Microfinance Bittiya Sanstha Ltd.,49,2720.0,2617.0,2660.0,1281.0,3387030.0,2699.0,-39.0
205,206,Surya Life Insurance Company Limited,225,994.0,971.0,974.0,67313.0,65661635.9,978.0,-4.0
206,207,Suryodaya Laghubitta Bittiya Sanstha Ltd.,41,1805.0,1764.0,1770.0,1768.0,3157643.8,1820.0,-50.0
207,208,Swabalamban Laghubitta Bittiya Sanstha Limited,173,1969.0,1905.0,1910.0,11294.0,21629712.0,1934.0,-24.0
208,209,Swabhimaan Laghubitta Bittiya Sanstha Limited,36,2652.0,2600.0,2600.0,896.0,2337361.0,2648.0,-48.0
209,210,Swarojgar Laghu Bitta Bikas Bank Ltd.,265,1530.0,1496.2,1510.0,31215.0,46964677.8,1526.0,-16.0
210,211,Synergy Power Development Ltd.,3689,823.9,760.0,765.0,645881.0,504535382.3,749.0,16.0
211,212,Taragaon Regency Hotel Limited,185,434.0,417.0,421.2,31081.0,13241015.0,420.0,1.2
212,213,Unilever Nepal Limited,1,19982.0,19982.0,19982.0,10.0,199820.0,19590.2,391.8
213,214,Union Hydropower Limited,1152,500.5,457.0,500.5,200711.0,96678757.2,455.0,45.5
214,215,Union Life Insurance Company Limited,56,583.9,520.8,583.9,460.0,264652.1,530.9,53.0
215,216,United IDI Mardi RB Hydropower Limited.,479,720.0,680.0,700.0,43300.0,30410728.0,672.0,28.0
216,217,United Insurance Co. (Nepal) Ltd.,200,773.1,751.1,758.0,65746.0,50023323.2,758.0,0.0
217,218,United Modi Hydropower Ltd.,3491,557.0,509.0,556.0,854164.0,459057857.6,509.0,47.0
218,219,UNIVERSAL POWER COMPANY LTD,2538,588.0,550.0,555.5,480825.0,271938313.3,543.4,12.1
219,220,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,26,2277.0,2236.0,2250.0,689.0,1549875.8,2279.0,-29.0
220,221,Upper Tamakoshi Hydropower Ltd,4966,840.0,778.0,820.0,731724.0,589939570.2,779.0,41.0
221,222,Vijaya laghubitta Bittiya Sanstha Ltd.,92,1875.0,1810.0,1835.0,5723.0,10445702.0,1875.0,-40.0
222,223,Womi Microfinance Bittiya Sanstha Ltd.,108,1749.0,1730.0,1740.0,4181.0,7273491.1,1755.0,-15.0
