Id,Semester,AcademicLevel,Subject,Campus,Title,Instructors,DeliveryMode,InstructionalFormat,Schedule,Units,Capacity,Enrolled,Status,StartDate,EndDate,Co-LocatesWith,Description
COURSE_SECTION_DEFINITION-3-33681,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2000-3 : Animation 2,Ed Bell,Online,Studio,"Mon 12:00-02:55PM, Online - FA-8",3,15,0,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.Animation 2 expands upon core character animation skills learned in Animation 1, further expanding skills in personal imagery, narrative, and materials. Animators are simultaneously actors and directors, so we&#39;ll get deeply into acting and expression; designing and sequencing shots (storyboarding); film style, dialogue and Foley sound, and most of all, timing. Exercises will include animating to well known film dialogue: &#34;Are you talking to me?&#34; designing character and movement to express subtle emotions such as &#34;suspicious&#34; or &#34;vain&#34;; and use of alternative materials as vehicles for expression. Frequent exercises will produce multiple films and images, while a long term collaborative midterm and an independent final project will offer sustained concentration on a theme and development."
COURSE_SECTION_DEFINITION-3-33447,Fall 2020,Undergraduate,Animation,TBD,ANIMA-2000-3 : Animation 2,George Evelyn,Online,Studio,Mon/Thu 12:00-03:00PM,3,18,12,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. This course builds upon core character animation skills learned in Animation 1, expanded into more challenging weight, dialogue, body mechanics, and acting dynamics. Students will gain an understanding of how the human body moves and what motivates a move. They will learn how to use live action reference and to transfer observations into fluid body mechanics and character performance. The goal is to give students a proper foundation and a workflow they can use when they move onto advanced character-driven animation classes. Students will practice animation through weekly assignments and a final project."
COURSE_SECTION_DEFINITION-3-32611,Fall 2020,Undergraduate,Animation,TBD,ANIMA-2100-1 : Animation: Visual Storytelling,George Evelyn,Online,Studio,Mon/Thu 4:00-07:00PM,3,16,12,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. This course is an introduction to the methods and tools of storytelling. It includes creating visual story images from written or spoken ideas, development of story structure, honing verbal storytelling skills, and exploring story sense: what comes first, next, last? We&#39;ll learn about story and character progressions; creating and maintaining dramatic tension; making strong compositions that convey meaning, camera position, sequencing shots. Through assignments and lectures beginning with the foundation of story and working through more complex ideas and forms, students will learn to utilize storytelling skills in practical application by telling and re-telling, creating images of shots, storyboarding sequences and by making short animatics. Assignments will be critiqued and reiterated in a process similar to the story work done in a film or animation studio."
COURSE_SECTION_DEFINITION-3-33682,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2100-1 : Animation: Visual Storytelling,George Evelyn,Online,Studio,"Mon/Thu 10:00-11:25AM, Online - FA-3",3,16,3,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.This course is an introduction to the methods and tools of story telling. It includes creating visual story images from written or spoken ideas, development of story structure, honing verbal story telling skills, and exploring story sense: what comes first, next, last? We&#39;ll learn about story and character progressions; creating and maintaining dramatic tension; making strong compositions that convey meaning, camera position, sequencing shots. Through assignments and lectures beginning with the foundation of story and working through more complex ideas and forms, students will learn to utilize story telling skills in practical application by telling and re-telling, creating images of shots, storyboarding sequences and by making short animatics. Assignments will be critiqued and reiterated in a process similar to the story work done in a film or animation studio."
COURSE_SECTION_DEFINITION-3-33683,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2100-2 : Animation: Visual Storytelling,Craig Good,Online,Studio,Mon/Thu 8:00-09:25PM,3,16,1,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.This course is an introduction to the methods and tools of story telling. It includes creating visual story images from written or spoken ideas, development of story structure, honing verbal story telling skills, and exploring story sense: what comes first, next, last? We&#39;ll learn about story and character progressions; creating and maintaining dramatic tension; making strong compositions that convey meaning, camera position, sequencing shots. Through assignments and lectures beginning with the foundation of story and working through more complex ideas and forms, students will learn to utilize story telling skills in practical application by telling and re-telling, creating images of shots, storyboarding sequences and by making short animatics. Assignments will be critiqued and reiterated in a process similar to the story work done in a film or animation studio."
COURSE_SECTION_DEFINITION-3-32612,Fall 2020,Undergraduate,Animation,TBD,ANIMA-2100-2 : Animation: Visual Storytelling,Craig Good,Online,Studio,Tue/Fri 4:00-07:00PM,3,16,14,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. This course is an introduction to the methods and tools of storytelling. It includes creating visual story images from written or spoken ideas, development of story structure, honing verbal storytelling skills, and exploring story sense: what comes first, next, last? We&#39;ll learn about story and character progressions; creating and maintaining dramatic tension; making strong compositions that convey meaning, camera position, sequencing shots. Through assignments and lectures beginning with the foundation of story and working through more complex ideas and forms, students will learn to utilize storytelling skills in practical application by telling and re-telling, creating images of shots, storyboarding sequences and by making short animatics. Assignments will be critiqued and reiterated in a process similar to the story work done in a film or animation studio."
COURSE_SECTION_DEFINITION-3-33450,Fall 2020,Undergraduate,Animation,TBD,ANIMA-2100-3 : Animation: Visual Storytelling,Dan McHale,Online,Studio,Mon/Thu 12:00-03:00PM,3,16,10,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable.This course is an introduction to the methods and tools of story telling. It includes creating visual story images from written or spoken ideas, development of story structure, honing verbal story telling skills, and exploring story sense: what comes first, next, last? We&#39;ll learn about story and character progressions; creating and maintaining dramatic tension; making strong compositions that convey meaning, camera position, sequencing shots. Through assignments and lectures beginning with the foundation of story and working through more complex ideas and forms, students will learn to utilize story telling skills in practical application by telling and re-telling, creating images of shots, storyboarding sequences and by making short animatics. Assignments will be critiqued and reiterated in a process similar to the story work done in a film or animation studio."
COURSE_SECTION_DEFINITION-3-33684,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2100-3 : Animation: Visual Storytelling,Dan McHale,Online,Studio,"Mon/Thu 4:00-05:25PM, Online - FA-6",3,16,0,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.This course is an introduction to the methods and tools of story telling. It includes creating visual story images from written or spoken ideas, development of story structure, honing verbal story telling skills, and exploring story sense: what comes first, next, last? We&#39;ll learn about story and character progressions; creating and maintaining dramatic tension; making strong compositions that convey meaning, camera position, sequencing shots. Through assignments and lectures beginning with the foundation of story and working through more complex ideas and forms, students will learn to utilize story telling skills in practical application by telling and re-telling, creating images of shots, storyboarding sequences and by making short animatics. Assignments will be critiqued and reiterated in a process similar to the story work done in a film or animation studio."
COURSE_SECTION_DEFINITION-3-33685,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2300-1 : Drawing for Animation,Christine Richard,Online,Studio,"Wed/Fri 4:00-05:25PM, Online - FA-15",3,18,1,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.This class will address the unique principles of drawing: the way animated drawings become performance in motion. We will look at model sheets and character development for animated characters which are believable, read clearly, and are constructed with acting and action in mind. Life drawing and conceptual drawing will focus on finding through-lines and silhouette; and drawings that express action and storytelling with clarity. Digital pencil tests will be used to evaluate motion, timing, composition, extremes and in-betweens. Emphasis will be on developing clear drawings which support visual storytelling."
COURSE_SECTION_DEFINITION-3-32613,Fall 2020,Undergraduate,Animation,TBD,ANIMA-2300-1 : Drawing for Animation,Wallace Keller,Online,Studio,Tue/Fri 4:00-07:00PM,3,18,13,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable.This class will address the unique principles of drawing: the way animated drawings become performance in motion. We will look at model sheets and character development for animated characters which are believable, read clearly, and are constructed with acting and action in mind. Life drawing and conceptual drawing will focus on finding through-lines and silhouette; and drawings that express action and storytelling with clarity. Digital pencil tests will be used to evaluate motion, timing, composition, extremes and in-betweens. Emphasis will be on developing clear drawings which support visual storytelling."
COURSE_SECTION_DEFINITION-3-32614,Fall 2020,Undergraduate,Animation,TBD,ANIMA-2300-2 : Drawing for Animation,Christine Richard,Online,Studio,Tue/Fri 12:00-03:00PM,3,18,16,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable.This class will address the unique principles of drawing: the way animated drawings become performance in motion. We will look at model sheets and character development for animated characters which are believable, read clearly, and are constructed with acting and action in mind. Life drawing and conceptual drawing will focus on finding through-lines and silhouette; and drawings that express action and storytelling with clarity. Digital pencil tests will be used to evaluate motion, timing, composition, extremes and in-betweens. Emphasis will be on developing clear drawings which support visual storytelling."
COURSE_SECTION_DEFINITION-3-33686,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2300-2 : Drawing for Animation,Wallace Keller,Online,Studio,"Wed/Fri 6:00-07:25PM, Online - FA-12",3,18,0,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.This class will address the unique principles of drawing: the way animated drawings become performance in motion. We will look at model sheets and character development for animated characters which are believable, read clearly, and are constructed with acting and action in mind. Life drawing and conceptual drawing will focus on finding through-lines and silhouette; and drawings that express action and storytelling with clarity. Digital pencil tests will be used to evaluate motion, timing, composition, extremes and in-betweens. Emphasis will be on developing clear drawings which support visual storytelling."
COURSE_SECTION_DEFINITION-3-32615,Fall 2020,Undergraduate,Animation,TBD,ANIMA-2300-3 : Drawing for Animation,Dan McHale,Online,Studio,Mon/Thu 4:00-07:00PM,3,18,10,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. The emphasis in this class will be strengthening the drawing skills of students for animation. Line of action, gestures and clean, clear silhouettes will be learned and reinforced. Strong attention will also be given to practical concepts of character design, character anatomy, and perspective. Multiple characters will be developed for ongoing class projects, which will culminate in character packets for presentation at the end of the semester. Homework and class assignments will be presented for instructor and peer critiques."
COURSE_SECTION_DEFINITION-3-33687,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2300-3 : Drawing for Animation STANDBY,Dan McHale,Online,Studio,Mon/Thu 8:00-09:25PM,3,0,0,Closed,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.This class will address the unique principles of drawing: the way animated drawings become performance in motion. We will look at model sheets and character development for animated characters which are believable, read clearly, and are constructed with acting and action in mind. Life drawing and conceptual drawing will focus on finding through-lines and silhouette; and drawings that express action and storytelling with clarity. Digital pencil tests will be used to evaluate motion, timing, composition, extremes and in-betweens. Emphasis will be on developing clear drawings which support visual storytelling."
COURSE_SECTION_DEFINITION-3-33688,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2700-1 : Workshop: Stop Motion,Norman Charles DeCarlo,Online,Workshop,Thu 10:00AM-12:55PM,3,15,0,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.Animation Workshops are a series of courses that teach essential skills about a specific topic within animation. Under the guidance of the instructor, students will engage in rigorous study about a specific subject matter. The goal of Animation Workshops is to produce work that illustrates the skills learned. These courses are open to all CCA students who have completed CORE D1 and 4D.This class teaches the language and techniques of animation using stop motion. Stop motion is a hands-on immediate production technique which uses &#34;straight-ahead&#34; adjustments of the subject, allowing the artist to address fundamental problems of animation such as timing, staging, arcs, and performance. In this class we will experiment with animating found objects, cut out animation, simple puppets, and pixelation to represent animate and inanimate characters, and will produce exercises and projects output in digital Quicktime format."
COURSE_SECTION_DEFINITION-3-32617,Fall 2020,Undergraduate,Animation,TBD,ANIMA-2700-2 : Workshop: 3D Character Modeling,Rodney Brett,Online,Workshop,Mon/Thu 4:00-07:00PM,3,15,7,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. Animation Workshops are a series of courses that teach essential skills about a specific topic within animation. Under the guidance of the instructor, students will engage in rigorous study about a specific subject matter. The goal of Animation Workshops is to produce work that illustrates the skills learned.This class will explore techniques for designing and building digital 3D character models for rendered animation, real-time games, and 3D-printing. Integrating 2D and 3D design skills with an introduction to best digital modeling practices with 3D software, we&#39;ll use both drawings and real-world reference toward the creation of fully dimensional fantasy characters. Today&#39;s digital free form sculpting tools enable artists to use the digital 3D environment as a design space, without being overly constrained by process. More technical concerns are gradually introduced, including industry standards for a well-ordered polygonal mesh suitable for posing, texture, and animation. Students will learn how to create stylized facial expressions, musculature, costumes and hairstyles."
COURSE_SECTION_DEFINITION-3-33690,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2700-3 : Workshop: Acting for the Animator,Tracy Burns,Online,Workshop,Mon/Thu 6:00-07:25PM,3,16,0,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.Animation Workshops are a series of courses that teach essential skills about a specific topic within animation. Under the guidance of the instructor, students will engage in rigorous study about a specific subject matter. The goal of Animation Workshops is to produce work that illustrates the skills learned. These courses are open to all CCA students who have completed CORE D1 and 4D.The key to good acting on the stage is using strong, varied actions to overcome obstacles and achieve clear objectives; the same is true in film and animation performance. This course is designed to teach students how to apply these acting skills to their performance, and is open to those without previous acting experience. Great actors and animators turn internal emotion or thoughts into clear physical actions. Beginning with the theory that all acting is action, students will learn how to create authentic characters, staged in a visual way with movement, weight, timing, and physics. Exploring the uses and benefits of improvisational theater for film and animation, students will explore issues of pacing, conflict, and relationships between characters. They will do in-class physical acting exercises that they can use in their own work, with their own bodies, in ways that will deepen their expression and insights to character."
COURSE_SECTION_DEFINITION-3-33691,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2700-4 : Workshop: Experimental Animation,Lydia Greer,Online,Workshop,"Wed/Fri 4:00-05:25PM, Online - FA-3",3,16,1,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.Animation Workshops are a series of courses that teach essential skills about a specific topic within animation. Under the guidance of the instructor, students will engage in rigorous study about a specific subject matter. The goal of Animation Workshops is to produce work that illustrates the skills learned. These courses are open to all CCA students who have completed CORE D1 and 4D.This class will explore experimental techniques in animation, both in it&#39;s manipulation of storytelling, and use of materials. We will look at varieties of visual ideas such as abstraction, color, and a variety of media. We will look at the way the mediums of cinema and materials can create and carry meaning and emotion independent of linear character storytelling. Stories and characters are welcome, but emphasis will be placed on conceptual ideas and locating narrative in technique. Animations will be made in a variety of formats including digital and traditional such as watercolors, painting, clay, or found materials."
COURSE_SECTION_DEFINITION-3-33692,Spring 2021,Undergraduate,Animation,TBD,ANIMA-2700-5 : Workshop: Character Modeling,Rodney Brett,Online,Workshop,Wed/Fri 6:00-07:25PM,3,16,1,Open,2021-01-25,2021-05-09,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources.Animation Workshops are a series of courses that teach essential skills about a specific topic within animation. Under the guidance of the instructor, students will engage in rigorous study about a specific subject matter. The goal of Animation Workshops is to produce work that illustrates the skills learned. These courses are open to all CCA students who have completed CORE D1 and 4D.This class will explore techniques for designing and building digital 3D character models for rendered animation, real-time games, and 3D-printing. Integrating 2D and 3D design skills with an introduction to best digital modeling practices with 3D software, including Maya and Mudbox, we&#39;ll use both drawings and real world reference toward the creation of fully dimensional fantasy characters. Today&#39;s digital free form sculpting tools enable artists to use the digital 3D environment as a design space, without being overly constrained by process. More technical concerns are gradually introduced, including industry standards for a well-ordered polygonal mesh suitable for posing, texture, and animation. Students will learn how to create stylized facial expressions, musculature, costumes and hairstyles. We&#39;ll prepare our models for 3D printing, ultimately turning ideas into tangible objects, like game pieces, replacement parts for stop-motion animation, or miniature maquettes."
COURSE_SECTION_DEFINITION-3-32620,Fall 2020,Undergraduate,Animation,TBD,ANIMA-2700-5 : Workshop: Experimental Animation,Lydia Greer,Online,Workshop,Wed 12:00-06:00PM,3,15,10,Open,2020-09-02,2020-12-15,,"Online course sections will be delivered mostly asynchronously, with some synchronous components that will be outlined in the course syllabus if applicable. All class work can be completed remotely, your instructor will work with you to ensure that you have the necessary tools and resources. Animation Workshops are a series of courses that teach essential skills about a specific topic within animation. Under the guidance of the instructor, students will engage in rigorous study about a specific subject matter. The goal of Animation Workshops is to produce work that illustrates the skills learned. These courses are open to all CCA students who have completed CORE D1 and 4D.This class will explore experimental techniques in animation, both in it&#39;s manipulation of storytelling, and use of materials. We will look at varieties of visual ideas such as abstraction, color, and a variety of media. We will look at the way the mediums of cinema and materials can create and carry meaning and emotion independent of linear character storytelling. Stories and characters are welcome, but emphasis will be placed on conceptual ideas and locating narrative in technique."
